DOE,School - Academy of Finance and Enterprise,11
DOE,School - PS 52 Sheepshead Bay,11
DOE,School - PS 139 Rego Park,11
DOE,School - PS 152 Dyckman Valley,11
DOE,School - Adlai E Stevenson High School,11
DOE,School - PS 217 Colonel David Marcus School,11
DOE,School - PS 201 The Discovery School for Inquiry and Research,11
DOE,School - Unity Center for Urban Technologies,11
DOE,School - PS 54 Charles W Leng,11
DOE,School - IS 211 John Wilson,11
DOE,School - PS 63 Author's Academy,11
DOE,School - PS 377 Alejandrina B De Gautier,11
DOE,School - PS 212 Lady Deborah Moody,11
DOE,School - PS 206 The Horace Harding School,11
DOE,School - PS 91 The Albany Avenue School,11
DOE,School - PS 15 Institute for Environmental Learning,11
DOE,School - PS 196 Grand Central Parkway,11
DOE,School - PS 123,11
DOE,School - PS 22 Graniteville,11
DOE,School - PS 262 El Hajj Malik El Shabazz Elementary School,11
DOE,School - PS 149 Danny Kaye,11
DCA,DCA,11
DOE,School - IS 339,11
DOE,School - PS 19 Asher Levy,11
DOE,School - IS 218 Salome Urena,11
DOE,School - MS 51 William Alexander,11
DOE,School - Bayside High School,11
DOE,School - PS 129 Twin Parks Upper,11
DOE,School - Boys and Girls High School,11
DOE,School - William Cullen Bryant High School,11
DOE,School - PS 60 Alice Austen,10
DOE,School - JHS 234 Arthur W Cunningham,10
LAW,LAW,10
DOE,School - PS 41 Gun Hill Road,10
DOE,School - Forest Hills High School,10
DOE,School - PS 78 Anne Hutchinson,10
DOE,School - JHS 127 The Castle Hill,10
DOE,School - Queens High School of Teaching, Liberal Arts, and the Sciences,10
DOE,School - Thomas Jefferson YABC,10
DOE,School - John Bowne High School,10
DOE,School - PS 181 Brooklyn,10
DOE,School - The Marie Curie School for Medicine, Nursing, and Health Professions,10
DOE,School - High School of Sports Management,10
DOE,School - JHS 8 Richard S Grossley,10
DOE,School - JHS 190 Russell Sage,10
DOE,School - IS 230,10
DOE,School - PS 304 Early Childhood School,10
CCRB,CCRB,10
DOE,School - NYC Lab Middle School for Collaborative Studies,10
DOE,School - PS 33 Chelsea School,10
DOE,School - Harry S Truman High School,10
DOE,School - PS 49 Dorothy Bonawit Kole,10
DOE,School - PS 16 Leonard Dunkly,10
DOE,School - PS 132 Juan Pablo Duarte,10
DOE,School - PS 83 Luis Munoz Rivera,10
DOE,School - JHS 201 The Dyker Heights,10
DOE,School - High School for Violin and Dance,10
DOE,School - PS 90 Horace Mann,10
DOE,School - Academy of Urban Planning,10
DOE,School - Park East High School,10
DOE,School - PS 153 Hellen Keller,10
DOE,School - The Bronx Mathematics Preparatory School,10
DOE,School - PS 312 Bergen Beach,10
DOE,School - Albert Shanker School for Visual and Performing Arts,10
DOE,School - PS 160 Walt Disney,10
DOE,School - The Math and Science Exploratory School,10
DOE,School - JHS 217 Robert A Van Wyck,10
DOE,School - Urban Assembly School for Criminal Justice,10
DOE,School - PS 35 Nathaniel Woodhull,10
DOE,School - Williamsburg Charter High School,10
DOE,School - PS 46 Edward C Blum,10
DOE,School - PS 153 Maspeth Elem,9
DOE,School - PS 142 Amalia Castro,9
DOE,School - IS 72 Rocco Laurie,9
MOC,MOC,9
DOE,School - PS 50 Vito Marcantonio,9
DOE,School - PS 50 Frank Hankinson,9
DOE,School - Merrick Academy Queens Public Charter School,9
DOE,School - PS 335 Granville T Woods,9
DOE,School - PS 206 Joseph F Lamb,9
NYCHA,NYCHA,9
DOE,School - Food and Finance High School,9
TLC,TLC,9
